onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr
20.02	1	heat	48	1	0	1	35	1864.3
34.236	1	heat	48	2	0	1	35	3286.4
47.62	1	heat	48	3	0	1	35	4624.8
62.476	1	heat	48	4	0	1	35	6110.0
76.281	1	heat	48	5	0	1	35	7490.4
88.815	1	heat	48	6	0	1	35	8743.7
100.716	1	heat	48	7	0	1	35	9933.9
113.66	1	heat	48	8	0	1	35	11229.2
127.672	1	heat	48	9	0	1	35	12630.4
139.996	1	heat	48	10	0	1	35	13862.4
151.269	1	heat	48	11	0	1	35	14989.6
162.752	1	heat	48	12	0	1	35	16137.6
173.812	1	heat	48	13	0	1	35	17243.6
186.986	1	heat	48	14	0	1	35	18561.0
199.099	1	heat	48	15	0	1	35	19772.3
211.843	1	heat	48	16	0	1	35	21046.8
226.908	1	heat	48	17	0	1	35	22553.4
241.344	1	heat	48	18	0	1	35	23996.9
254.938	1	heat	48	19	0	1	35	25356.4
269.584	1	heat	48	20	0	1	35	26820.3
